PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalAnnualMaxCapacity,NDP,JAM,Techs_Auto,,,,2021,,,,,,5.0204
TotalAnnualMaxCapacity,NDP,JAM,Techs_Auto,,,,2022,,,,,,5.4315
TotalAnnualMaxCapacity,NDP,JAM,Techs_Auto,,,,2023,,,,,,5.6849
TotalAnnualMaxCapacity,NDP,JAM,Techs_Auto,,,,2024,,,,,,5.794
TotalAnnualMaxCapacity,NDP,JAM,Techs_Auto,,,,2025,,,,,,5.9062
TotalAnnualMaxCapacity,NDP,JAM,Techs_Auto,,,,2026,,,,,,6.0199
TotalAnnualMaxCapacity,NDP,JAM,Techs_Auto,,,,2027,,,,,,6.1336
TotalAnnualMaxCapacity,NDP,JAM,Techs_Auto,,,,2028,,,,,,6.2474
TotalAnnualMaxCapacity,NDP,JAM,Techs_Auto,,,,2029,,,,,,6.3611
TotalAnnualMaxCapacity,NDP,JAM,Techs_Auto,,,,2030,,,,,,6.4748
TotalAnnualMaxCapacity,NDP,JAM,Techs_Auto,,,,2031,,,,,,6.6016
TotalAnnualMaxCapacity,NDP,JAM,Techs_Auto,,,,2032,,,,,,6.7284
TotalAnnualMaxCapacity,NDP,JAM,Techs_Auto,,,,2033,,,,,,6.8551
TotalAnnualMaxCapacity,NDP,JAM,Techs_Auto,,,,2034,,,,,,6.982
TotalAnnualMaxCapacity,NDP,JAM,Techs_Auto,,,,2035,,,,,,7.1087
TotalAnnualMaxCapacity,NDP,JAM,Techs_Auto,,,,2036,,,,,,7.2637
TotalAnnualMaxCapacity,NDP,JAM,Techs_Auto,,,,2037,,,,,,7.4187
TotalAnnualMaxCapacity,NDP,JAM,Techs_Auto,,,,2038,,,,,,7.5737
TotalAnnualMaxCapacity,NDP,JAM,Techs_Auto,,,,2039,,,,,,7.7287
TotalAnnualMaxCapacity,NDP,JAM,Techs_Auto,,,,2040,,,,,,7.8837
TotalAnnualMaxCapacity,NDP,JAM,Techs_Auto,,,,2041,,,,,,8.0664
TotalAnnualMaxCapacity,NDP,JAM,Techs_Auto,,,,2042,,,,,,8.2491
TotalAnnualMaxCapacity,NDP,JAM,Techs_Auto,,,,2043,,,,,,8.4319
TotalAnnualMaxCapacity,NDP,JAM,Techs_Auto,,,,2044,,,,,,8.6146
TotalAnnualMaxCapacity,NDP,JAM,Techs_Auto,,,,2045,,,,,,8.7972
TotalAnnualMaxCapacity,NDP,JAM,Techs_Auto,,,,2046,,,,,,9.0001
TotalAnnualMaxCapacity,NDP,JAM,Techs_Auto,,,,2047,,,,,,9.2028
TotalAnnualMaxCapacity,NDP,JAM,Techs_Auto,,,,2048,,,,,,9.4056
TotalAnnualMaxCapacity,NDP,JAM,Techs_Auto,,,,2049,,,,,,9.6084
TotalAnnualMaxCapacity,NDP,JAM,Techs_Auto,,,,2050,,,,,,9.8112
TotalAnnualMaxCapacity,NDP,JAM,Techs_Auto,,,,2051,,,,,,10.0183
TotalAnnualMaxCapacity,NDP,JAM,Techs_Auto,,,,2052,,,,,,10.2297
TotalAnnualMaxCapacity,NDP,JAM,Techs_Auto,,,,2053,,,,,,10.4456
TotalAnnualMaxCapacity,NDP,JAM,Techs_Auto,,,,2054,,,,,,10.666
TotalAnnualMaxCapacity,NDP,JAM,Techs_Auto,,,,2055,,,,,,10.8912
TotalAnnualMaxCapacity,NDP,JAM,Techs_Motos,,,,2021,,,,,,0.3664
TotalAnnualMaxCapacity,NDP,JAM,Techs_Motos,,,,2022,,,,,,0.3964
TotalAnnualMaxCapacity,NDP,JAM,Techs_Motos,,,,2023,,,,,,0.4149
TotalAnnualMaxCapacity,NDP,JAM,Techs_Motos,,,,2024,,,,,,0.4228
TotalAnnualMaxCapacity,NDP,JAM,Techs_Motos,,,,2025,,,,,,0.431
TotalAnnualMaxCapacity,NDP,JAM,Techs_Motos,,,,2026,,,,,,0.4393
TotalAnnualMaxCapacity,NDP,JAM,Techs_Motos,,,,2027,,,,,,0.4476
TotalAnnualMaxCapacity,NDP,JAM,Techs_Motos,,,,2028,,,,,,0.4559
TotalAnnualMaxCapacity,NDP,JAM,Techs_Motos,,,,2029,,,,,,0.4642
TotalAnnualMaxCapacity,NDP,JAM,Techs_Motos,,,,2030,,,,,,0.4725
TotalAnnualMaxCapacity,NDP,JAM,Techs_Motos,,,,2031,,,,,,0.4818
TotalAnnualMaxCapacity,NDP,JAM,Techs_Motos,,,,2032,,,,,,0.491
TotalAnnualMaxCapacity,NDP,JAM,Techs_Motos,,,,2033,,,,,,0.5003
TotalAnnualMaxCapacity,NDP,JAM,Techs_Motos,,,,2034,,,,,,0.5095
TotalAnnualMaxCapacity,NDP,JAM,Techs_Motos,,,,2035,,,,,,0.5188
TotalAnnualMaxCapacity,NDP,JAM,Techs_Motos,,,,2036,,,,,,0.5301
TotalAnnualMaxCapacity,NDP,JAM,Techs_Motos,,,,2037,,,,,,0.5414
TotalAnnualMaxCapacity,NDP,JAM,Techs_Motos,,,,2038,,,,,,0.5527
TotalAnnualMaxCapacity,NDP,JAM,Techs_Motos,,,,2039,,,,,,0.564
TotalAnnualMaxCapacity,NDP,JAM,Techs_Motos,,,,2040,,,,,,0.5753
TotalAnnualMaxCapacity,NDP,JAM,Techs_Motos,,,,2041,,,,,,0.5887
TotalAnnualMaxCapacity,NDP,JAM,Techs_Motos,,,,2042,,,,,,0.602
TotalAnnualMaxCapacity,NDP,JAM,Techs_Motos,,,,2043,,,,,,0.6153
TotalAnnualMaxCapacity,NDP,JAM,Techs_Motos,,,,2044,,,,,,0.6287
TotalAnnualMaxCapacity,NDP,JAM,Techs_Motos,,,,2045,,,,,,0.642
TotalAnnualMaxCapacity,NDP,JAM,Techs_Motos,,,,2046,,,,,,0.6568
TotalAnnualMaxCapacity,NDP,JAM,Techs_Motos,,,,2047,,,,,,0.6716
TotalAnnualMaxCapacity,NDP,JAM,Techs_Motos,,,,2048,,,,,,0.6864
TotalAnnualMaxCapacity,NDP,JAM,Techs_Motos,,,,2049,,,,,,0.7012
TotalAnnualMaxCapacity,NDP,JAM,Techs_Motos,,,,2050,,,,,,0.716
TotalAnnualMaxCapacity,NDP,JAM,Techs_Motos,,,,2051,,,,,,0.7311
TotalAnnualMaxCapacity,NDP,JAM,Techs_Motos,,,,2052,,,,,,0.7465
TotalAnnualMaxCapacity,NDP,JAM,Techs_Motos,,,,2053,,,,,,0.7623
TotalAnnualMaxCapacity,NDP,JAM,Techs_Motos,,,,2054,,,,,,0.7784
TotalAnnualMaxCapacity,NDP,JAM,Techs_Motos,,,,2055,,,,,,0.7948
TotalAnnualMaxCapacity,NDP,JAM,Techs_SUV,,,,2021,,,,,,0.3555
TotalAnnualMaxCapacity,NDP,JAM,Techs_SUV,,,,2022,,,,,,0.3846
TotalAnnualMaxCapacity,NDP,JAM,Techs_SUV,,,,2023,,,,,,0.4026
TotalAnnualMaxCapacity,NDP,JAM,Techs_SUV,,,,2024,,,,,,0.4103
TotalAnnualMaxCapacity,NDP,JAM,Techs_SUV,,,,2025,,,,,,0.4182
TotalAnnualMaxCapacity,NDP,JAM,Techs_SUV,,,,2026,,,,,,0.4263
TotalAnnualMaxCapacity,NDP,JAM,Techs_SUV,,,,2027,,,,,,0.4343
TotalAnnualMaxCapacity,NDP,JAM,Techs_SUV,,,,2028,,,,,,0.4424
TotalAnnualMaxCapacity,NDP,JAM,Techs_SUV,,,,2029,,,,,,0.4504
TotalAnnualMaxCapacity,NDP,JAM,Techs_SUV,,,,2030,,,,,,0.4585
TotalAnnualMaxCapacity,NDP,JAM,Techs_SUV,,,,2031,,,,,,0.4675
TotalAnnualMaxCapacity,NDP,JAM,Techs_SUV,,,,2032,,,,,,0.4765
TotalAnnualMaxCapacity,NDP,JAM,Techs_SUV,,,,2033,,,,,,0.4854
TotalAnnualMaxCapacity,NDP,JAM,Techs_SUV,,,,2034,,,,,,0.4944
TotalAnnualMaxCapacity,NDP,JAM,Techs_SUV,,,,2035,,,,,,0.5034
TotalAnnualMaxCapacity,NDP,JAM,Techs_SUV,,,,2036,,,,,,0.5144
TotalAnnualMaxCapacity,NDP,JAM,Techs_SUV,,,,2037,,,,,,0.5253
TotalAnnualMaxCapacity,NDP,JAM,Techs_SUV,,,,2038,,,,,,0.5363
TotalAnnualMaxCapacity,NDP,JAM,Techs_SUV,,,,2039,,,,,,0.5473
TotalAnnualMaxCapacity,NDP,JAM,Techs_SUV,,,,2040,,,,,,0.5583
TotalAnnualMaxCapacity,NDP,JAM,Techs_SUV,,,,2041,,,,,,0.5712
TotalAnnualMaxCapacity,NDP,JAM,Techs_SUV,,,,2042,,,,,,0.5841
TotalAnnualMaxCapacity,NDP,JAM,Techs_SUV,,,,2043,,,,,,0.5971
TotalAnnualMaxCapacity,NDP,JAM,Techs_SUV,,,,2044,,,,,,0.61
TotalAnnualMaxCapacity,NDP,JAM,Techs_SUV,,,,2045,,,,,,0.623
TotalAnnualMaxCapacity,NDP,JAM,Techs_SUV,,,,2046,,,,,,0.6373
TotalAnnualMaxCapacity,NDP,JAM,Techs_SUV,,,,2047,,,,,,0.6517
TotalAnnualMaxCapacity,NDP,JAM,Techs_SUV,,,,2048,,,,,,0.666
TotalAnnualMaxCapacity,NDP,JAM,Techs_SUV,,,,2049,,,,,,0.6804
TotalAnnualMaxCapacity,NDP,JAM,Techs_SUV,,,,2050,,,,,,0.6948
TotalAnnualMaxCapacity,NDP,JAM,Techs_SUV,,,,2051,,,,,,0.7094
TotalAnnualMaxCapacity,NDP,JAM,Techs_SUV,,,,2052,,,,,,0.7244
TotalAnnualMaxCapacity,NDP,JAM,Techs_SUV,,,,2053,,,,,,0.7397
TotalAnnualMaxCapacity,NDP,JAM,Techs_SUV,,,,2054,,,,,,0.7553
TotalAnnualMaxCapacity,NDP,JAM,Techs_SUV,,,,2055,,,,,,0.7712
TotalAnnualMaxCapacity,NDP,JAM,Techs_Taxi,,,,2021,,,,,,0.8712
TotalAnnualMaxCapacity,NDP,JAM,Techs_Taxi,,,,2022,,,,,,0.9426
TotalAnnualMaxCapacity,NDP,JAM,Techs_Taxi,,,,2023,,,,,,0.9865
TotalAnnualMaxCapacity,NDP,JAM,Techs_Taxi,,,,2024,,,,,,1.0055
TotalAnnualMaxCapacity,NDP,JAM,Techs_Taxi,,,,2025,,,,,,1.025
TotalAnnualMaxCapacity,NDP,JAM,Techs_Taxi,,,,2026,,,,,,1.0447
TotalAnnualMaxCapacity,NDP,JAM,Techs_Taxi,,,,2027,,,,,,1.0644
TotalAnnualMaxCapacity,NDP,JAM,Techs_Taxi,,,,2028,,,,,,1.0841
TotalAnnualMaxCapacity,NDP,JAM,Techs_Taxi,,,,2029,,,,,,1.1039
TotalAnnualMaxCapacity,NDP,JAM,Techs_Taxi,,,,2030,,,,,,1.1236
TotalAnnualMaxCapacity,NDP,JAM,Techs_Taxi,,,,2031,,,,,,1.1456
TotalAnnualMaxCapacity,NDP,JAM,Techs_Taxi,,,,2032,,,,,,1.1676
TotalAnnualMaxCapacity,NDP,JAM,Techs_Taxi,,,,2033,,,,,,1.1896
TotalAnnualMaxCapacity,NDP,JAM,Techs_Taxi,,,,2034,,,,,,1.2117
TotalAnnualMaxCapacity,NDP,JAM,Techs_Taxi,,,,2035,,,,,,1.2336
TotalAnnualMaxCapacity,NDP,JAM,Techs_Taxi,,,,2036,,,,,,1.2605
TotalAnnualMaxCapacity,NDP,JAM,Techs_Taxi,,,,2037,,,,,,1.2874
TotalAnnualMaxCapacity,NDP,JAM,Techs_Taxi,,,,2038,,,,,,1.3143
TotalAnnualMaxCapacity,NDP,JAM,Techs_Taxi,,,,2039,,,,,,1.3412
TotalAnnualMaxCapacity,NDP,JAM,Techs_Taxi,,,,2040,,,,,,1.3681
TotalAnnualMaxCapacity,NDP,JAM,Techs_Taxi,,,,2041,,,,,,1.3998
TotalAnnualMaxCapacity,NDP,JAM,Techs_Taxi,,,,2042,,,,,,1.4315
TotalAnnualMaxCapacity,NDP,JAM,Techs_Taxi,,,,2043,,,,,,1.4632
TotalAnnualMaxCapacity,NDP,JAM,Techs_Taxi,,,,2044,,,,,,1.4949
TotalAnnualMaxCapacity,NDP,JAM,Techs_Taxi,,,,2045,,,,,,1.5266
TotalAnnualMaxCapacity,NDP,JAM,Techs_Taxi,,,,2046,,,,,,1.5618
TotalAnnualMaxCapacity,NDP,JAM,Techs_Taxi,,,,2047,,,,,,1.597
TotalAnnualMaxCapacity,NDP,JAM,Techs_Taxi,,,,2048,,,,,,1.6322
TotalAnnualMaxCapacity,NDP,JAM,Techs_Taxi,,,,2049,,,,,,1.6674
TotalAnnualMaxCapacity,NDP,JAM,Techs_Taxi,,,,2050,,,,,,1.7026
TotalAnnualMaxCapacity,NDP,JAM,Techs_Taxi,,,,2051,,,,,,1.7385
TotalAnnualMaxCapacity,NDP,JAM,Techs_Taxi,,,,2052,,,,,,1.7753
TotalAnnualMaxCapacity,NDP,JAM,Techs_Taxi,,,,2053,,,,,,1.8127
TotalAnnualMaxCapacity,NDP,JAM,Techs_Taxi,,,,2054,,,,,,1.8509
TotalAnnualMaxCapacity,NDP,JAM,Techs_Taxi,,,,2055,,,,,,1.89
TotalAnnualMaxCapacity,NDP,JAM,Techs_Buses_Micro,,,,2021,,,,,,0.1085
TotalAnnualMaxCapacity,NDP,JAM,Techs_Buses_Micro,,,,2022,,,,,,0.1174
TotalAnnualMaxCapacity,NDP,JAM,Techs_Buses_Micro,,,,2023,,,,,,0.1229
TotalAnnualMaxCapacity,NDP,JAM,Techs_Buses_Micro,,,,2024,,,,,,0.1253
TotalAnnualMaxCapacity,NDP,JAM,Techs_Buses_Micro,,,,2025,,,,,,0.1277
TotalAnnualMaxCapacity,NDP,JAM,Techs_Buses_Micro,,,,2026,,,,,,0.1301
TotalAnnualMaxCapacity,NDP,JAM,Techs_Buses_Micro,,,,2027,,,,,,0.1326
TotalAnnualMaxCapacity,NDP,JAM,Techs_Buses_Micro,,,,2028,,,,,,0.135
TotalAnnualMaxCapacity,NDP,JAM,Techs_Buses_Micro,,,,2029,,,,,,0.1375
TotalAnnualMaxCapacity,NDP,JAM,Techs_Buses_Micro,,,,2030,,,,,,0.14
TotalAnnualMaxCapacity,NDP,JAM,Techs_Buses_Micro,,,,2031,,,,,,0.1427
TotalAnnualMaxCapacity,NDP,JAM,Techs_Buses_Micro,,,,2032,,,,,,0.1454
TotalAnnualMaxCapacity,NDP,JAM,Techs_Buses_Micro,,,,2033,,,,,,0.1482
TotalAnnualMaxCapacity,NDP,JAM,Techs_Buses_Micro,,,,2034,,,,,,0.1509
TotalAnnualMaxCapacity,NDP,JAM,Techs_Buses_Micro,,,,2035,,,,,,0.1537
TotalAnnualMaxCapacity,NDP,JAM,Techs_Buses_Micro,,,,2036,,,,,,0.157
TotalAnnualMaxCapacity,NDP,JAM,Techs_Buses_Micro,,,,2037,,,,,,0.1604
TotalAnnualMaxCapacity,NDP,JAM,Techs_Buses_Micro,,,,2038,,,,,,0.1637
TotalAnnualMaxCapacity,NDP,JAM,Techs_Buses_Micro,,,,2039,,,,,,0.1671
TotalAnnualMaxCapacity,NDP,JAM,Techs_Buses_Micro,,,,2040,,,,,,0.1704
TotalAnnualMaxCapacity,NDP,JAM,Techs_Buses_Micro,,,,2041,,,,,,0.1744
TotalAnnualMaxCapacity,NDP,JAM,Techs_Buses_Micro,,,,2042,,,,,,0.1783
TotalAnnualMaxCapacity,NDP,JAM,Techs_Buses_Micro,,,,2043,,,,,,0.1823
TotalAnnualMaxCapacity,NDP,JAM,Techs_Buses_Micro,,,,2044,,,,,,0.1862
TotalAnnualMaxCapacity,NDP,JAM,Techs_Buses_Micro,,,,2045,,,,,,0.1902
TotalAnnualMaxCapacity,NDP,JAM,Techs_Buses_Micro,,,,2046,,,,,,0.1946
TotalAnnualMaxCapacity,NDP,JAM,Techs_Buses_Micro,,,,2047,,,,,,0.1989
TotalAnnualMaxCapacity,NDP,JAM,Techs_Buses_Micro,,,,2048,,,,,,0.2033
TotalAnnualMaxCapacity,NDP,JAM,Techs_Buses_Micro,,,,2049,,,,,,0.2077
TotalAnnualMaxCapacity,NDP,JAM,Techs_Buses_Micro,,,,2050,,,,,,0.2121
TotalAnnualMaxCapacity,NDP,JAM,Techs_Buses_Micro,,,,2051,,,,,,0.2166
TotalAnnualMaxCapacity,NDP,JAM,Techs_Buses_Micro,,,,2052,,,,,,0.2211
TotalAnnualMaxCapacity,NDP,JAM,Techs_Buses_Micro,,,,2053,,,,,,0.2258
TotalAnnualMaxCapacity,NDP,JAM,Techs_Buses_Micro,,,,2054,,,,,,0.2306
TotalAnnualMaxCapacity,NDP,JAM,Techs_Buses_Micro,,,,2055,,,,,,0.2354
TotalAnnualMaxCapacity,NDP,JAM,Techs_Buses_Pub,,,,2021,,,,,,0.0058
TotalAnnualMaxCapacity,NDP,JAM,Techs_Buses_Pub,,,,2022,,,,,,0.0063
TotalAnnualMaxCapacity,NDP,JAM,Techs_Buses_Pub,,,,2023,,,,,,0.0066
TotalAnnualMaxCapacity,NDP,JAM,Techs_Buses_Pub,,,,2024,,,,,,0.0067
TotalAnnualMaxCapacity,NDP,JAM,Techs_Buses_Pub,,,,2025,,,,,,0.0069
TotalAnnualMaxCapacity,NDP,JAM,Techs_Buses_Pub,,,,2026,,,,,,0.007
TotalAnnualMaxCapacity,NDP,JAM,Techs_Buses_Pub,,,,2027,,,,,,0.0071
TotalAnnualMaxCapacity,NDP,JAM,Techs_Buses_Pub,,,,2028,,,,,,0.0073
TotalAnnualMaxCapacity,NDP,JAM,Techs_Buses_Pub,,,,2029,,,,,,0.0074
TotalAnnualMaxCapacity,NDP,JAM,Techs_Buses_Pub,,,,2030,,,,,,0.0075
TotalAnnualMaxCapacity,NDP,JAM,Techs_Buses_Pub,,,,2031,,,,,,0.0077
TotalAnnualMaxCapacity,NDP,JAM,Techs_Buses_Pub,,,,2032,,,,,,0.0078
TotalAnnualMaxCapacity,NDP,JAM,Techs_Buses_Pub,,,,2033,,,,,,0.008
TotalAnnualMaxCapacity,NDP,JAM,Techs_Buses_Pub,,,,2034,,,,,,0.0081
TotalAnnualMaxCapacity,NDP,JAM,Techs_Buses_Pub,,,,2035,,,,,,0.0083
TotalAnnualMaxCapacity,NDP,JAM,Techs_Buses_Pub,,,,2036,,,,,,0.0084
TotalAnnualMaxCapacity,NDP,JAM,Techs_Buses_Pub,,,,2037,,,,,,0.0086
TotalAnnualMaxCapacity,NDP,JAM,Techs_Buses_Pub,,,,2038,,,,,,0.0088
TotalAnnualMaxCapacity,NDP,JAM,Techs_Buses_Pub,,,,2039,,,,,,0.009
TotalAnnualMaxCapacity,NDP,JAM,Techs_Buses_Pub,,,,2040,,,,,,0.0092
TotalAnnualMaxCapacity,NDP,JAM,Techs_Buses_Pub,,,,2041,,,,,,0.0094
TotalAnnualMaxCapacity,NDP,JAM,Techs_Buses_Pub,,,,2042,,,,,,0.0096
